Day,Date,Last Price,Volume,SMAVG(15)
Tu,2/2/16,122.94,3.287M,6.858M
Mo,2/1/16,124.83,3.575M,6.97M
,,,,
Fr,1/29/16,124.79,8.248M,7.049M
Th,1/28/16,122.22,3.943M,6.968M
We,1/27/16,120.96,5.026M,6.993M
Tu,1/26/16,122.59,4.618M,6.919M
Mo,1/25/16,122.08,5.446M,6.96M
,,,,
Fr,1/22/16,122.5,9.238M,6.828M
Th,1/21/16,122.91,8.852M,6.411M
We,1/20/16,121.86,16.158M,6.084M
Tu,1/19/16,128.11,9.98M,5.216M
,,,,
Fr,1/15/16,130.03,9.008M,4.651M
Th,1/14/16,132.91,5.71M,4.394M
We,1/13/16,131.17,4.7M,4.298M
Tu,1/12/16,132.9,5.079M,4.359M
Mo,1/11/16,133.23,4.974M,4.689M
,,,,
Fr,1/8/16,131.63,4.763M,4.63M
Th,1/7/16,132.86,7.026M,4.602M
We,1/6/16,135.17,4.311M,4.416M
Tu,1/5/16,135.85,3.925M,4.472M
Mo,1/4/16,135.95,5.229M,4.566M
,,,,
Th,12/31/15,137.62,3.462M,4.499M
We,12/30/15,139.34,2.989M,4.575M
Tu,12/29/15,139.78,3.944M,4.637M
Mo,12/28/15,137.61,3.143M,4.592M
,,,,
Th,12/24/15,138.25,1.495M,4.687M
We,12/23/15,138.54,5.165M,4.982M
Tu,12/22/15,137.93,4.264M,4.886M
Mo,12/21/15,135.5,5.617M,4.881M
,,,,
Fr,12/18/15,134.9,10.026M,4.81M
Th,12/17/15,136.75,4.09M,4.236M
We,12/16/15,139.29,4.345M,4.179M
Tu,12/15/15,137.79,4.239M,4.116M
