Category: Investing,
,
Day,Dell stock: (Worldwide)
9/5/2015,38
9/4/2015,33
9/3/2015,65
9/2/2015,0
9/1/2015,95
8/31/2015,0
8/30/2015,0
8/29/2015,39
8/28/2015,0
8/27/2015,0
8/26/2015,33
8/25/2015,32
8/24/2015,32
8/23/2015,0
8/22/2015,39
8/21/2015,0
8/20/2015,33
8/19/2015,33
8/18/2015,0
8/17/2015,0
8/16/2015,39
8/15/2015,0
8/14/2015,35
8/13/2015,33
8/12/2015,33
8/11/2015,33
8/10/2015,0
8/9/2015,0
8/8/2015,0
8/7/2015,0
8/6/2015,0
8/5/2015,0
8/4/2015,0
8/3/2015,33
8/2/2015,0
8/1/2015,0
7/31/2015,0
7/30/2015,0
7/29/2015,0
7/28/2015,0
7/27/2015,32
7/26/2015,0
7/25/2015,40
7/24/2015,0
7/23/2015,0
7/22/2015,0
7/21/2015,0
7/20/2015,0
7/19/2015,0
7/18/2015,43
7/17/2015,0
7/16/2015,34
7/15/2015,0
7/14/2015,33
7/13/2015,33
7/12/2015,0
7/11/2015,0
7/10/2015,0
7/9/2015,0
7/8/2015,98
7/7/2015,0
7/6/2015,65
7/5/2015,0
7/4/2015,0
7/3/2015,0
7/2/2015,0
7/1/2015,0
6/30/2015,0
6/29/2015,0
6/28/2015,0
6/27/2015,0
6/26/2015,69
6/25/2015,0
6/24/2015,0
6/23/2015,0
6/22/2015,0
6/21/2015,0
6/20/2015,0
6/19/2015,0
6/18/2015,0
6/17/2015,33
6/16/2015,0
6/15/2015,33
6/14/2015,0
6/13/2015,40
6/12/2015,35
6/11/2015,66
6/10/2015,66
6/9/2015,0
6/8/2015,0
6/7/2015,0
6/6/2015,0
6/5/2015,0
6/4/2015,34
6/3/2015,0
6/2/2015,0
6/1/2015,0
5/31/2015,39
5/30/2015,0
5/29/2015,0
5/28/2015,0
5/27/2015,0
5/26/2015,32
5/25/2015,68
5/24/2015,0
5/23/2015,0
5/22/2015,0
5/21/2015,0
5/20/2015,65
5/19/2015,0
5/18/2015,0
5/17/2015,0
5/16/2015,0
5/15/2015,0
5/14/2015,0
5/13/2015,0
5/12/2015,33
5/11/2015,0
5/10/2015,40
5/9/2015,0
5/8/2015,0
5/7/2015,0
5/6/2015,0
5/5/2015,33
5/4/2015,0
5/3/2015,0
5/2/2015,0
5/1/2015,0
4/30/2015,0
4/29/2015,0
4/28/2015,33
4/27/2015,66
4/26/2015,0
4/25/2015,0
4/24/2015,35
4/23/2015,34
4/22/2015,0
4/21/2015,33
4/20/2015,0
4/19/2015,0
4/18/2015,0
4/17/2015,34
4/16/2015,0
4/15/2015,0
4/14/2015,33
4/13/2015,0
4/12/2015,0
4/11/2015,0
4/10/2015,0
4/9/2015,100
4/8/2015,33
4/7/2015,0
4/6/2015,0
4/5/2015,0
4/4/2015,0
4/3/2015,0
4/2/2015,35
4/1/2015,0
3/31/2015,33
3/30/2015,33
3/29/2015,0
3/28/2015,0
3/27/2015,0
3/26/2015,0
3/25/2015,44
3/24/2015,30
3/23/2015,0
3/22/2015,0
3/21/2015,0
3/20/2015,0
3/19/2015,0
3/18/2015,0
3/17/2015,60
3/16/2015,0
3/15/2015,0
3/14/2015,35
3/13/2015,0
3/12/2015,0
3/11/2015,0
3/10/2015,0
3/9/2015,0
3/8/2015,35
3/7/2015,0
3/6/2015,0
3/5/2015,30
3/4/2015,29
3/3/2015,30
3/2/2015,0
3/1/2015,34
2/28/2015,0
2/27/2015,0
2/26/2015,0
2/25/2015,0
2/24/2015,30
2/23/2015,30
2/22/2015,0
2/21/2015,71
2/20/2015,0
2/19/2015,31
2/18/2015,61
2/17/2015,31
2/16/2015,0
2/15/2015,0
2/14/2015,0
2/13/2015,63
2/12/2015,61
2/11/2015,60
2/10/2015,0
2/9/2015,89
2/8/2015,0
2/7/2015,0
2/6/2015,0
2/5/2015,0
2/4/2015,30
2/3/2015,30
2/2/2015,30
2/1/2015,0
1/31/2015,0
1/30/2015,31
1/29/2015,0
1/28/2015,0
1/27/2015,0
1/26/2015,0
1/25/2015,0
1/24/2015,36
1/23/2015,63
1/22/2015,30
1/21/2015,0
1/20/2015,60
1/19/2015,0
1/18/2015,0
1/17/2015,0
1/16/2015,32
1/15/2015,31
1/14/2015,30
1/13/2015,0
1/12/2015,0
1/11/2015,0
1/10/2015,36
1/9/2015,0
1/8/2015,0
1/7/2015,0
1/6/2015,32
1/5/2015,0
1/4/2015,0
1/3/2015,0
1/2/2015,35
1/1/2015,0
12/31/2014,39
12/30/2014,35
12/29/2014,0
12/28/2014,0
12/27/2014,0
12/26/2014,0
12/25/2014,0
12/24/2014,0
12/23/2014,35
12/22/2014,0
12/21/2014,0
12/20/2014,0
12/19/2014,0
12/18/2014,0
12/17/2014,0
12/16/2014,0
12/15/2014,0
12/14/2014,0
12/13/2014,0
12/12/2014,0
12/11/2014,64
12/10/2014,0
12/9/2014,0
12/8/2014,0
12/7/2014,0
12/6/2014,0
12/5/2014,33
12/4/2014,96
12/3/2014,63
12/2/2014,93
12/1/2014,0
11/30/2014,0
11/29/2014,0
11/28/2014,34
11/27/2014,0
11/26/2014,0
11/25/2014,31
11/24/2014,63
11/23/2014,0
11/22/2014,0
11/21/2014,33
11/20/2014,0
11/19/2014,0
11/18/2014,34
11/17/2014,31
11/16/2014,0
11/15/2014,0
11/14/2014,0
11/13/2014,32
11/12/2014,0
11/11/2014,32
11/10/2014,0
11/9/2014,0
11/8/2014,0
11/7/2014,100
11/6/2014,0
11/5/2014,32
11/4/2014,0
11/3/2014,0
11/2/2014,0
11/1/2014,0
10/31/2014,0
10/30/2014,0
10/29/2014,0
10/28/2014,64
10/27/2014,0
10/26/2014,0
10/25/2014,0
10/24/2014,0
10/23/2014,33
10/22/2014,32
10/21/2014,0
10/20/2014,0
10/19/2014,0
10/18/2014,0
10/17/2014,0
10/16/2014,0
10/15/2014,0
10/14/2014,32
10/13/2014,33
10/12/2014,0
10/11/2014,0
10/10/2014,0
10/9/2014,0
10/8/2014,0
10/7/2014,0
10/6/2014,66
10/5/2014,39
10/4/2014,0
10/3/2014,0
10/2/2014,34
10/1/2014,0
9/30/2014,0
9/29/2014,32
9/28/2014,0
9/27/2014,0
9/26/2014,0
9/25/2014,0
9/24/2014,31
9/23/2014,0
9/22/2014,32
9/21/2014,37
9/20/2014,0
9/19/2014,33
9/18/2014,0
9/17/2014,48
9/16/2014,63
9/15/2014,0
9/14/2014,75
9/13/2014,38
9/12/2014,100
9/11/2014,32
9/10/2014,32
9/9/2014,0
9/8/2014,48
9/7/2014,38
9/6/2014,0
9/5/2014,34
9/4/2014,32
9/3/2014,0
9/2/2014,0
9/1/2014,33
8/31/2014,0
8/30/2014,40
8/29/2014,0
8/28/2014,0
8/27/2014,0
8/26/2014,32
8/25/2014,33
8/24/2014,0
8/23/2014,0
8/22/2014,0
8/21/2014,33
8/20/2014,0
8/19/2014,33
8/18/2014,67
8/17/2014,40
8/16/2014,41
8/15/2014,36
8/14/2014,34
8/13/2014,0
8/12/2014,33
8/11/2014,0
8/10/2014,0
8/9/2014,41
8/8/2014,0
8/7/2014,0
8/6/2014,34
8/5/2014,0
8/4/2014,0
8/3/2014,0
8/2/2014,81
8/1/2014,72
7/31/2014,35
7/30/2014,0
7/29/2014,0
7/28/2014,0
7/27/2014,0
7/26/2014,0
7/25/2014,72
7/24/2014,0
7/23/2014,0
7/22/2014,34
7/21/2014,0
7/20/2014,0
7/19/2014,0
7/18/2014,0
7/17/2014,52
7/16/2014,35
7/15/2014,34
7/14/2014,0
7/13/2014,0
7/12/2014,0
7/11/2014,35
7/10/2014,34
7/9/2014,0
7/8/2014,0
7/7/2014,34
7/6/2014,0
7/5/2014,0
7/4/2014,0
7/3/2014,0
7/2/2014,34
7/1/2014,34
6/30/2014,34
6/29/2014,0
6/28/2014,0
6/27/2014,35
6/26/2014,0
6/25/2014,0
6/24/2014,33
6/23/2014,0
6/22/2014,0
6/21/2014,0
6/20/2014,0
6/19/2014,35
6/18/2014,34
6/17/2014,0
6/16/2014,0
6/15/2014,41
6/14/2014,40
6/13/2014,35
6/12/2014,34
6/11/2014,34
6/10/2014,34
6/9/2014,0
6/8/2014,0
6/7/2014,42
6/6/2014,35
6/5/2014,0
6/4/2014,65
6/3/2014,0
6/2/2014,33
6/1/2014,0
5/31/2014,0
5/30/2014,35
5/29/2014,0
5/28/2014,33
5/27/2014,0
5/26/2014,33
5/25/2014,40
5/24/2014,40
5/23/2014,0
5/22/2014,99
5/21/2014,0
5/20/2014,0
5/19/2014,0
5/18/2014,36
5/17/2014,0
5/16/2014,31
5/15/2014,61
5/14/2014,61
5/13/2014,59
5/12/2014,29
5/11/2014,0
5/10/2014,0
5/9/2014,32
5/8/2014,46
5/7/2014,30
5/6/2014,30
5/5/2014,30
5/4/2014,0
5/3/2014,36
5/2/2014,32
5/1/2014,0
4/30/2014,0
4/29/2014,30
4/28/2014,0
4/27/2014,35
4/26/2014,36
4/25/2014,32
4/24/2014,31
4/23/2014,60
4/22/2014,0
4/21/2014,66
4/20/2014,0
4/19/2014,0
4/18/2014,0
4/17/2014,32
4/16/2014,62
4/15/2014,46
4/14/2014,0
4/13/2014,72
4/12/2014,37
4/11/2014,32
4/10/2014,0
4/9/2014,30
4/8/2014,0
4/7/2014,30
4/6/2014,0
4/5/2014,0
4/4/2014,63
4/3/2014,90
4/2/2014,45
4/1/2014,0
3/31/2014,0
3/30/2014,0
3/29/2014,35
3/28/2014,0
3/27/2014,45
3/26/2014,23
3/25/2014,23
3/24/2014,23
3/23/2014,27
3/22/2014,56
3/21/2014,50
3/20/2014,48
3/19/2014,24
3/18/2014,24
3/17/2014,24
3/16/2014,0
3/15/2014,28
3/14/2014,25
3/13/2014,0
3/12/2014,47
3/11/2014,0
3/10/2014,0
3/9/2014,0
3/8/2014,0
3/7/2014,25
3/6/2014,24
3/5/2014,0
3/4/2014,0
3/3/2014,0
3/2/2014,0
3/1/2014,0
2/28/2014,0
2/27/2014,24
2/26/2014,24
2/25/2014,70
2/24/2014,70
2/23/2014,28
2/22/2014,28
2/21/2014,25
2/20/2014,0
2/19/2014,0
2/18/2014,0
2/17/2014,48
2/16/2014,0
2/15/2014,0
2/14/2014,25
2/13/2014,0
2/12/2014,47
2/11/2014,24
2/10/2014,0
2/9/2014,0
2/8/2014,28
2/7/2014,27
2/6/2014,97
2/5/2014,24
2/4/2014,24
2/3/2014,24
2/2/2014,0
2/1/2014,0
1/31/2014,0
1/30/2014,49
1/29/2014,24
1/28/2014,23
1/27/2014,24
1/26/2014,28
1/25/2014,0
1/24/2014,0
1/23/2014,24
1/22/2014,24
1/21/2014,0
1/20/2014,0
1/19/2014,28
1/18/2014,29
1/17/2014,0
1/16/2014,0
1/15/2014,49
1/14/2014,0
1/13/2014,0
1/12/2014,0
1/11/2014,57
1/10/2014,26
1/9/2014,25
1/8/2014,0
